,Factura,Total,Calificacion,Cluster_21,Cluster_22
637,438-01-4015,207.858,6.6,0,0
638,760-90-2357,469.413,5.0,0,1
639,600-38-9738,377.58,4.3,0,0
640,320-49-6392,31.752,8.4,2,2
641,542-41-0513,241.458,6.6,0,0
642,873-51-0671,161.553,5.1,0,0
643,325-77-6186,951.825,7.3,1,3
644,554-53-3790,233.226,4.5,0,0
645,283-79-9594,356.5485,5.2,0,0
646,817-69-8206,942.4485,6.5,1,1
647,376-02-8238,788.508,8.3,1,3
648,470-32-9057,269.535,9.1,2,2
649,566-71-1091,404.355,5.5,0,0
650,755-12-3214,232.155,8.6,2,2
651,548-46-9322,418.95,5.9,0,0
652,882-40-4577,282.492,8.0,2,2
653,393-65-2792,939.54,9.6,1,3
654,284-34-9626,242.676,7.2,2,2
655,138-17-5109,843.0345,6.5,1,1
656,187-83-5490,87.234,4.7,0,0
657,133-77-3154,252.75599999999997,9.4,2,2
658,308-39-1707,12.6945,8.2,2,2
659,349-97-8902,121.569,8.9,2,2
660,148-41-7930,734.706,6.1,1,1
661,799-71-1548,326.4240000000001,8.8,2,2
662,808-65-0703,148.974,6.9,0,0
663,105-31-1824,510.972,8.5,2,3
664,485-30-8700,174.615,4.2,0,0
665,875-46-5808,271.95,8.7,2,2
666,316-68-6352,76.35600000000002,7.1,0,0
667,186-09-3669,85.5855,9.2,2,2
668,315-22-5665,772.38,8.0,1,3
669,640-48-5028,835.2855,6.3,1,1
670,845-94-6841,688.716,4.0,1,1
671,379-17-6588,625.905,5.3,1,1
672,676-39-6028,338.31,6.6,0,0
673,803-17-8013,745.836,4.1,1,1
674,453-12-7053,144.08100000000005,6.5,0,0
675,190-14-3147,75.47399999999998,6.4,0,0
676,875-31-8302,98.04899999999999,9.6,2,2
677,749-81-8133,397.61400000000003,6.8,0,0
678,347-56-2442,69.111,4.1,0,0
679,838-02-1821,26.733,5.2,0,0
680,406-46-7107,608.076,4.5,1,1
681,181-94-6432,145.593,9.7,2,2
682,376-56-3573,400.764,6.4,0,0
683,745-71-3520,185.36700000000002,8.2,2,2
684,597-78-7908,284.193,6.2,0,0
685,509-29-3912,365.904,4.2,0,0
686,690-01-6631,183.645,6.6,0,0
687,289-15-7034,345.786,7.5,2,2
688,525-88-7307,79.611,5.8,0,0
689,595-94-9924,145.5825,4.2,0,0
690,276-75-6884,216.4365,8.7,2,2
691,145-94-9061,463.89,9.6,2,3
692,291-21-5991,321.7725,7.0,0,0
693,409-49-6995,297.801,8.8,2,2
694,458-61-0011,253.26,5.8,0,0
695,291-32-1427,115.185,5.3,0,0
696,174-64-0215,732.27,8.9,1,3
697,144-51-6085,297.108,4.4,0,0
698,635-40-6220,752.64,6.6,1,1
699,400-80-4065,287.91,9.2,2,2
700,679-22-6530,85.302,4.1,0,0
701,211-30-9270,91.4025,4.9,0,0
702,173-82-9529,398.475,9.7,2,2
703,803-83-5989,351.099,7.0,0,0
704,242-11-3142,175.917,4.6,0,0
705,829-34-3910,749.49,5.7,1,1
706,883-17-4236,30.219,7.2,0,2
707,793-10-3222,258.678,8.3,2,2
708,500-02-2261,360.92699999999996,5.9,0,0
709,866-99-7614,936.6,4.4,1,1
710,728-88-7867,317.226,8.3,2,2
711,593-14-4239,801.8639999999997,4.7,1,1
712,176-64-7711,101.80799999999999,4.3,0,0
713,196-01-2849,539.3430000000002,9.5,2,3
714,472-15-9636,427.81199999999995,9.2,2,3
715,503-21-4385,125.7165,9.3,2,2
716,802-43-8934,19.194000000000006,8.3,2,2
717,149-14-0304,239.4,6.6,0,0
718,388-76-2555,86.24700000000001,6.3,0,0
719,627-95-3243,734.076,9.8,1,3
720,101-17-6199,336.5565,7.0,0,0
721,645-78-8093,195.59400000000002,4.1,0,0
722,497-36-0989,163.611,7.9,2,2
723,115-38-7388,85.512,9.5,2,2
724,608-27-6295,333.207,9.8,2,2
725,421-95-9805,30.408,6.2,0,0
726,339-38-9982,125.706,6.7,0,0
727,752-23-3760,470.98800000000006,7.3,1,3
728,622-20-1945,41.39100000000001,8.4,2,2
729,725-67-2480,370.125,5.9,0,0
730,437-58-8131,154.392,4.6,0,0
731,268-27-6179,474.348,7.3,1,3
732,523-38-0215,38.85,7.9,2,2
733,778-89-7974,442.32300000000004,7.4,2,3
734,351-62-0822,60.816,4.5,0,0
735,573-10-3877,40.9605,4.7,0,0
736,631-41-3108,340.5255,7.4,2,2
737,645-44-1170,548.7615,4.3,1,1
738,287-83-1405,160.209,7.0,0,0
739,518-17-2983,204.24599999999998,7.6,2,2
740,841-35-6630,478.233,8.7,2,3
741,592-46-1692,270.2595,7.4,2,2
742,372-26-1506,125.055,5.4,0,0
743,628-34-3388,172.49400000000003,7.9,2,2
744,889-04-9723,374.38800000000003,7.8,2,2
745,450-42-3339,888.405,8.8,1,3
746,556-86-3144,78.0045,5.0,0,0
747,339-18-7061,195.25799999999998,8.0,2,2
748,105-10-6182,45.108000000000004,6.6,0,0
749,702-83-5291,943.299,6.6,1,1
750,249-42-3782,367.5525,5.5,0,0
751,521-18-7827,206.7975,8.7,2,2
752,186-79-9562,527.5095,8.9,2,3
753,316-55-4634,420.2625,9.4,2,3
754,860-79-0874,1042.65,6.6,1,1
755,150-89-8043,140.6475,6.2,0,0
756,810-60-6344,343.224,6.5,0,0
757,366-93-0948,69.6675,9.7,2,2
758,410-67-1709,536.592,9.9,2,3
759,428-83-5800,66.402,7.3,2,2
760,254-31-0042,203.175,7.8,2,2
761,559-98-9873,394.3275,5.2,0,0
762,815-11-1168,523.845,5.4,1,1
763,512-91-0811,94.2375,6.6,0,0
764,329-62-1586,172.2105,8.6,2,2
765,701-69-8742,360.885,6.7,0,0
766,746-54-5508,135.576,9.4,2,2
767,318-81-2368,48.51,6.3,0,0
768,380-94-4661,276.948,6.9,0,0
769,750-67-8428,548.9715,9.1,2,3
770,355-53-5943,433.69199999999995,5.8,0,1
771,241-11-2261,586.971,5.5,1,1
772,834-61-8124,379.9215,5.5,0,0
773,125-45-2293,624.33,4.2,1,1
774,895-66-0685,56.952,8.0,2,2
775,296-11-7041,28.4235,5.3,0,0
776,528-14-9470,95.865,9.2,2,2
777,283-26-5248,1034.46,4.5,1,1
778,174-75-0888,203.93099999999998,7.3,2,2
779,243-55-8457,781.62,5.1,1,1
780,838-78-4295,70.28699999999999,6.7,0,0
781,239-10-7476,491.085,8.0,2,3
782,355-34-6244,152.019,8.1,2,2
783,189-40-5216,708.3195,6.0,1,1
784,109-86-4363,441.588,4.5,0,1
785,636-48-8204,181.44,9.9,2,2
786,440-59-5691,273.0525,7.7,2,2
787,308-81-0538,306.81,4.9,0,0
788,162-48-8011,234.0975,8.5,2,2
789,751-15-6198,144.963,7.9,2,2
790,729-06-2010,760.4415,9.2,1,3
791,784-08-0310,88.368,7.6,2,2
792,210-67-5886,309.3615,7.8,2,2
793,695-28-6250,226.065,7.7,2,2
794,760-53-9233,130.032,8.5,2,2
795,562-12-5430,277.6725,7.9,2,2
796,827-77-7633,926.9505,9.3,1,3
797,263-87-5680,299.565,7.8,2,2
798,504-35-8843,44.5935,5.7,0,0
799,809-69-9497,479.64,5.7,1,1
800,413-20-6708,54.0435,8.5,2,2
801,821-14-9046,110.124,6.1,0,0
802,677-11-0152,881.307,8.8,1,3
803,843-73-4724,77.805,9.2,2,2
804,892-05-6689,148.68,6.2,0,0
805,766-85-7061,922.635,5.1,1,1
806,556-72-8512,24.108,4.3,0,0
807,227-78-1148,535.374,8.4,2,3
808,268-03-6164,100.9155,7.8,2,2
809,459-50-7686,147.798,6.4,0,0
810,864-24-7918,257.145,8.1,2,2
811,563-47-4072,351.603,9.9,2,2
812,643-38-7867,102.837,6.9,0,0
813,746-19-0921,22.659000000000002,7.2,0,2
814,135-13-8269,165.648,9.1,2,2
815,134-75-2619,142.002,6.9,0,0
816,226-31-3081,80.22,9.6,2,2
817,636-17-0325,262.79400000000004,9.5,2,2
818,448-34-8700,271.2885,6.7,0,0
819,273-84-2164,63.2625,5.5,0,0
820,699-01-4164,174.3,8.2,2,2
821,389-25-3394,62.0025,9.4,2,2
822,191-29-0321,207.585,5.0,0,0
823,175-54-2529,186.22799999999998,9.6,2,2
824,225-32-0908,471.03,8.2,2,3
825,457-12-0244,221.886,6.5,0,0
826,501-61-1753,397.845,9.8,2,2
827,148-82-2527,127.26,8.4,2,2
828,123-35-4896,440.93699999999995,5.3,0,1
829,870-76-1733,74.7075,4.4,0,0
830,840-19-2096,461.5275,4.4,0,1
831,189-98-2939,742.2975,7.2,1,3
832,607-65-2441,860.475,6.0,1,1
833,414-12-7047,166.236,8.7,2,2
834,256-08-8343,237.426,5.5,0,0
835,390-80-5128,20.1075,9.5,2,2
836,470-31-3286,46.683,8.7,2,2
837,574-80-1489,263.97,8.7,2,2
838,534-01-4457,514.773,8.0,1,3
839,565-17-3836,200.21400000000003,9.1,2,2
840,770-42-8960,177.408,6.3,0,0
841,269-10-8440,390.7995,8.9,2,2
842,321-49-7382,92.7255,5.2,0,0
843,210-57-1719,550.368,9.7,2,3
844,577-34-7579,477.1305,5.4,1,1
845,853-23-2453,318.108,7.6,2,2
846,788-21-5741,142.947,7.2,0,2
847,443-82-0585,326.256,8.4,2,2
848,759-29-9521,462.67199999999997,8.0,2,3
849,152-08-9985,608.202,8.6,1,3
850,794-42-3736,69.993,6.4,0,0
851,198-84-7132,383.7645,7.0,0,0
852,634-97-8956,103.635,9.1,2,2
853,325-89-4209,92.295,6.7,0,0
854,286-75-7818,145.06799999999996,6.9,0,0
855,217-58-1179,263.13,4.2,0,0
856,629-42-4133,183.12,8.3,2,2
857,258-69-7810,193.4625,9.2,2,2
858,233-34-0817,103.78200000000001,8.4,2,2
859,687-15-1097,44.352,9.7,2,2
860,633-09-3463,150.0975,9.5,2,2
861,250-81-7186,104.6745,8.0,2,2
862,669-54-1719,119.259,8.1,2,2
863,320-32-8842,23.750999999999998,6.4,0,0
864,373-09-4567,814.38,6.9,1,1
865,525-09-8450,757.365,4.2,1,1
866,214-17-6927,103.824,9.9,2,2
867,686-41-0932,72.87,8.2,2,2
868,585-86-8361,143.22,8.6,2,2
869,189-52-0236,731.6925,7.6,1,3
870,641-51-2661,914.55,9.9,1,3
871,499-27-7781,446.964,5.0,0,1
872,574-31-8277,35.3115,5.6,0,0
873,827-26-2100,319.788,8.8,2,2
874,320-85-2052,36.5505,7.0,0,0
875,725-96-3778,749.7,4.7,1,1
876,530-90-9855,399.756,5.7,0,0
877,307-83-9164,252.042,4.5,0,0
878,888-02-0338,247.8735,5.9,0,0
879,399-69-4630,139.923,8.6,2,2
880,279-74-2924,75.7785,6.1,0,0
881,374-38-5555,334.4775,8.5,2,2
882,731-14-2199,373.17,7.0,0,0
883,324-41-6833,253.68,5.1,0,0
884,783-09-1637,354.0075,6.3,0,0
885,831-07-6050,171.7275,9.9,2,2
886,558-80-4082,204.6975,6.0,0,0
887,127-47-6963,217.18200000000002,9.8,2,2
888,845-51-0542,439.8975,6.4,1,1
889,795-49-7276,156.03,8.3,2,2
890,716-39-1409,223.0725,8.0,2,2
891,642-32-2990,115.08,6.0,0,0
892,227-50-3718,76.755,4.4,0,0
893,452-04-8808,640.038,5.5,1,1
894,284-54-4231,84.9765,9.0,2,2
895,225-98-1496,85.113,7.1,0,0
896,852-62-7105,874.125,4.4,1,1
897,859-71-0933,32.529,6.3,0,0
898,446-47-6729,209.622,6.7,0,0
899,733-29-1227,408.7335,8.5,2,3
