,Factura,Ciudad,Tipo_cliente,Genero,Linea_producto,Precio_unidad,Cantidad,Impuesto,Total,Forma_pago,Coste,Calificacion,Fecha2,Dia,Jornada,Horario,Calificacion2,ISG,Anomaly,Anomaly_Score,Cluster
249,583-72-1480,Naypyitaw,Miembro,Hombre,Electronic accessories,37.06,4,7.412000000000001,155.65200000000004,Ewallet,148.24,9.7,2019-01-31,Thursday,Laboral,Tarde,Promotores,100,0,-0.01926348674148781,Cluster 1
250,811-35-1094,Mandalay,Miembro,Hombre,Electronic accessories,50.45,6,15.135,317.835,Credit card,302.7,8.9,2019-02-06,Wednesday,Laboral,Tarde,Promotores,100,0,-0.034063818633124576,Cluster 1
251,702-83-5291,Naypyitaw,Miembro,Hombre,Fashion accessories,99.82,9,44.919,943.299,Cash,898.38,6.6,2019-03-27,Wednesday,Festivo,Mañana,Neutros,0,0,-0.006786406122489264,Cluster 0
252,498-41-1961,Mandalay,Normal,Hombre,Health and beauty,66.68,5,16.67,350.07,Cash,333.4,7.6,2019-02-20,Wednesday,Laboral,Noche,Neutros,0,0,-0.0215311574972088,Cluster 2
253,326-71-2155,Naypyitaw,Normal,Mujer,Sports and travel,73.95,4,14.79,310.59,Cash,295.8,6.1,2019-02-03,Sunday,Festivo,Mañana,Detractores,-100,0,-0.02807549775441509,Cluster 0
254,201-86-2184,Mandalay,Miembro,Mujer,Electronic accessories,26.26,7,9.191,193.011,Cash,183.82,9.9,2019-02-02,Saturday,Laboral,Noche,Promotores,100,0,-0.01886429496533704,Cluster 2
255,594-34-4444,Yangon,Normal,Hombre,Electronic accessories,97.16,1,4.8580000000000005,102.018,Ewallet,97.16,7.2,2019-03-08,Friday,Laboral,Noche,Neutros,0,0,-0.007768496885537379,Cluster 2
256,436-54-4512,Yangon,Miembro,Mujer,Food and beverages,91.61,1,4.5805,96.1905,Cash,91.61,9.8,2019-03-20,Wednesday,Laboral,Noche,Promotores,100,0,-0.0026306383997743987,Cluster 2
257,268-03-6164,Mandalay,Normal,Hombre,Health and beauty,96.11,1,4.8055,100.9155,Ewallet,96.11,7.8,2019-01-25,Friday,Laboral,Tarde,Neutros,0,0,-0.018021863414120043,Cluster 1
258,857-16-3520,Yangon,Miembro,Mujer,Fashion accessories,71.46,7,25.011,525.231,Ewallet,500.22,4.5,2019-03-28,Thursday,Laboral,Tarde,Detractores,-100,0,-0.02338308906114173,Cluster 1
259,558-80-4082,Naypyitaw,Normal,Hombre,Electronic accessories,27.85,7,9.7475,204.6975,Ewallet,194.95,6.0,2019-03-14,Thursday,Laboral,Tarde,Detractores,-100,0,-0.028805646733775836,Cluster 1
260,633-91-1052,Yangon,Normal,Mujer,Home and lifestyle,12.03,2,1.203,25.263,Cash,24.06,5.1,2019-01-27,Sunday,Festivo,Tarde,Detractores,-100,0,-0.00529659393282067,Cluster 1
261,235-06-8510,Naypyitaw,Miembro,Hombre,Home and lifestyle,85.72,3,12.858,270.018,Ewallet,257.16,5.1,2019-01-24,Thursday,Laboral,Noche,Detractores,-100,0,-0.027324770439285277,Cluster 2
262,324-41-6833,Naypyitaw,Miembro,Mujer,Electronic accessories,30.2,8,12.08,253.68,Ewallet,241.6,5.1,2019-03-03,Sunday,Festivo,Noche,Detractores,-100,0,-0.03162231815617922,Cluster 2
263,301-11-9629,Yangon,Normal,Mujer,Sports and travel,19.1,7,6.685,140.385,Cash,133.7,9.7,2019-01-15,Tuesday,Laboral,Mañana,Promotores,100,0,-0.01693311929530616,Cluster 0
264,136-08-6195,Yangon,Normal,Mujer,Home and lifestyle,69.96,8,27.984,587.664,Credit card,559.68,6.4,2019-02-15,Friday,Laboral,Tarde,Detractores,-100,0,-0.026413868677252816,Cluster 1
265,731-14-2199,Yangon,Miembro,Mujer,Home and lifestyle,35.54,10,17.77,373.17,Ewallet,355.4,7.0,2019-01-04,Friday,Festivo,Mañana,Neutros,0,0,-0.046966287414595416,Cluster 0
266,416-13-5917,Naypyitaw,Normal,Mujer,Food and beverages,97.03,5,24.2575,509.4075,Ewallet,485.15,9.3,2019-01-30,Wednesday,Laboral,Tarde,Promotores,100,0,-0.012701387495414829,Cluster 1
267,474-33-8305,Naypyitaw,Miembro,Hombre,Fashion accessories,67.39,7,23.5865,495.3165,Ewallet,471.73,6.9,2019-03-23,Saturday,Laboral,Mañana,Neutros,0,0,-0.034885846527413215,Cluster 0
268,732-67-5346,Yangon,Normal,Hombre,Food and beverages,13.79,5,3.4475,72.3975,Credit card,68.95,7.8,2019-01-11,Friday,Laboral,Noche,Neutros,0,0,-0.035225964314570035,Cluster 2
269,462-67-9126,Yangon,Normal,Hombre,Home and lifestyle,73.22,6,21.966,461.286,Cash,439.32,7.2,2019-01-21,Monday,Laboral,Tarde,Neutros,0,0,-0.03953287230946799,Cluster 1
270,630-74-5166,Yangon,Normal,Hombre,Sports and travel,62.13,6,18.639,391.419,Cash,372.78,7.4,2019-03-22,Friday,Laboral,Noche,Neutros,0,0,-0.02458929907581797,Cluster 2
271,609-81-8548,Yangon,Miembro,Mujer,Home and lifestyle,37.44,6,11.232,235.872,Credit card,224.64,5.9,2019-02-06,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.047840790584778914,Cluster 0
272,401-09-4232,Naypyitaw,Miembro,Hombre,Home and lifestyle,86.69,5,21.6725,455.1225,Ewallet,433.45,9.4,2019-02-11,Monday,Laboral,Noche,Promotores,100,0,-0.017421349748797717,Cluster 2
273,805-86-0265,Yangon,Normal,Hombre,Home and lifestyle,93.96,9,42.282,887.922,Cash,845.64,9.8,2019-03-20,Wednesday,Laboral,Mañana,Promotores,100,0,-0.0062267298795724004,Cluster 0
274,531-80-1784,Yangon,Normal,Hombre,Electronic accessories,26.02,7,9.107,191.247,Cash,182.14,5.1,2019-03-28,Thursday,Laboral,Tarde,Detractores,-100,0,-0.028445805119371118,Cluster 1
275,316-01-3952,Yangon,Normal,Mujer,Food and beverages,54.27,5,13.5675,284.9175,Ewallet,271.35,4.6,2019-03-13,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.03723555850929439,Cluster 1
276,445-30-9252,Yangon,Normal,Hombre,Sports and travel,25.7,3,3.855,80.955,Ewallet,77.1,6.1,2019-01-17,Thursday,Laboral,Tarde,Detractores,-100,0,-0.014069282527116813,Cluster 1
277,585-03-5943,Mandalay,Normal,Hombre,Health and beauty,18.11,10,9.055,190.155,Ewallet,181.1,5.9,2019-03-13,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.02557443821917726,Cluster 0
278,233-67-5758,Naypyitaw,Normal,Hombre,Health and beauty,40.35,1,2.0175,42.3675,Ewallet,40.35,6.2,2019-01-29,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.014791115636403672,Cluster 0
279,605-03-2706,Yangon,Normal,Mujer,Health and beauty,15.8,3,2.37,49.77,Cash,47.4,9.5,2019-03-25,Monday,Laboral,Noche,Promotores,100,0,-0.0016386253577790333,Cluster 2
280,642-61-4706,Mandalay,Miembro,Hombre,Food and beverages,93.4,2,9.34,196.14,Cash,186.8,5.5,2019-03-30,Saturday,Laboral,Tarde,Detractores,-100,0,-0.017616455981809387,Cluster 1
281,834-61-8124,Yangon,Normal,Hombre,Electronic accessories,51.69,7,18.0915,379.9215,Cash,361.83,5.5,2019-01-26,Saturday,Laboral,Noche,Detractores,-100,0,-0.02659520808255722,Cluster 2
282,867-47-1948,Naypyitaw,Normal,Mujer,Home and lifestyle,15.8,10,7.9,165.9,Cash,158.0,7.8,2019-01-09,Wednesday,Laboral,Mañana,Neutros,0,0,-0.03250970522533125,Cluster 0
283,468-88-0009,Yangon,Miembro,Hombre,Home and lifestyle,65.94,4,13.188,276.948,Cash,263.76,6.0,2019-03-24,Sunday,Festivo,Mañana,Detractores,-100,0,-0.03527518650634354,Cluster 0
284,740-22-2500,Naypyitaw,Normal,Mujer,Electronic accessories,84.05,3,12.6075,264.7575,Cash,252.15,9.8,2019-01-23,Wednesday,Laboral,Mañana,Promotores,100,0,-0.018706886649173412,Cluster 0
285,807-14-7833,Yangon,Miembro,Mujer,Electronic accessories,17.42,10,8.71,182.91,Ewallet,174.2,7.0,2019-02-22,Friday,Laboral,Mañana,Neutros,0,0,-0.039936382948029925,Cluster 0
286,755-12-3214,Naypyitaw,Miembro,Mujer,Fashion accessories,44.22,5,11.055,232.155,Credit card,221.1,8.6,2019-03-05,Tuesday,Laboral,Tarde,Promotores,100,0,-0.03860173822816726,Cluster 1
287,189-55-2313,Naypyitaw,Normal,Mujer,Fashion accessories,62.18,10,31.09,652.89,Ewallet,621.8,6.0,2019-01-31,Thursday,Laboral,Mañana,Detractores,-100,0,-0.025529447299841638,Cluster 0
288,102-06-2002,Naypyitaw,Miembro,Hombre,Sports and travel,25.25,5,6.3125,132.5625,Cash,126.25,6.1,2019-03-20,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.010475617731475316,Cluster 1
289,865-41-9075,Yangon,Normal,Hombre,Food and beverages,11.53,7,4.0355,84.7455,Cash,80.71,8.1,2019-01-28,Monday,Laboral,Tarde,Neutros,0,0,-0.011211497710535643,Cluster 1
290,459-45-2396,Yangon,Miembro,Mujer,Food and beverages,99.6,3,14.94,313.74,Cash,298.8,5.8,2019-02-25,Monday,Laboral,Noche,Detractores,-100,0,-0.02480308444201762,Cluster 2
291,884-80-6021,Yangon,Miembro,Mujer,Electronic accessories,73.47,10,36.735,771.435,Ewallet,734.7,9.5,2019-03-23,Saturday,Laboral,Mañana,Promotores,100,0,-0.0007720893593956558,Cluster 0
292,859-97-6048,Naypyitaw,Miembro,Hombre,Electronic accessories,84.25,2,8.425,176.925,Credit card,168.5,5.3,2019-03-26,Tuesday,Laboral,Tarde,Detractores,-100,0,-0.02364662191257505,Cluster 1
293,592-46-1692,Naypyitaw,Miembro,Mujer,Food and beverages,36.77,7,12.8695,270.2595,Cash,257.39,7.4,2019-01-11,Friday,Laboral,Noche,Neutros,0,0,-0.03910617459741972,Cluster 2
294,540-11-4336,Yangon,Normal,Hombre,Food and beverages,24.94,9,11.223,235.683,Credit card,224.46,5.6,2019-01-11,Friday,Laboral,Tarde,Detractores,-100,0,-0.032907245784669414,Cluster 1
295,198-66-9832,Mandalay,Miembro,Mujer,Fashion accessories,72.04,2,7.204,151.284,Cash,144.08,9.5,2019-02-04,Monday,Laboral,Noche,Promotores,100,0,-0.024446692152345958,Cluster 2
296,258-69-7810,Naypyitaw,Normal,Mujer,Fashion accessories,36.85,5,9.2125,193.4625,Cash,184.25,9.2,2019-01-26,Saturday,Laboral,Noche,Promotores,100,0,-0.04205068537502665,Cluster 2
297,325-90-8763,Naypyitaw,Miembro,Mujer,Electronic accessories,46.57,10,23.285,488.985,Cash,465.7,7.6,2019-01-27,Sunday,Festivo,Mañana,Neutros,0,0,-0.02987368315102568,Cluster 0
298,278-86-2735,Yangon,Normal,Mujer,Food and beverages,52.34,3,7.851,164.87099999999995,Cash,157.02,9.2,2019-03-27,Wednesday,Festivo,Tarde,Promotores,100,0,-0.02868855624287958,Cluster 1
299,407-63-8975,Yangon,Normal,Hombre,Food and beverages,73.88,6,22.164,465.444,Ewallet,443.28,4.4,2019-03-23,Saturday,Laboral,Noche,Detractores,-100,0,-0.0289778726447818,Cluster 2
300,401-18-8016,Mandalay,Miembro,Mujer,Sports and travel,98.13,1,4.9065,103.0365,Cash,98.13,8.9,2019-01-21,Monday,Laboral,Tarde,Promotores,100,0,-0.005700450129056289,Cluster 1
301,217-58-1179,Yangon,Miembro,Hombre,Home and lifestyle,62.65,4,12.53,263.13,Cash,250.6,4.2,2019-01-05,Saturday,Laboral,Mañana,Detractores,-100,0,-0.03555831363219997,Cluster 0
302,227-07-4446,Naypyitaw,Miembro,Mujer,Electronic accessories,78.13,10,39.065,820.365,Cash,781.3,4.4,2019-02-10,Sunday,Festivo,Noche,Detractores,-100,0,-0.003059428606590697,Cluster 2
303,426-39-2418,Naypyitaw,Normal,Hombre,Electronic accessories,61.41,7,21.4935,451.3635,Cash,429.87,9.8,2019-01-14,Monday,Laboral,Mañana,Promotores,100,0,-0.025977808660857526,Cluster 0
304,446-47-6729,Naypyitaw,Normal,Hombre,Fashion accessories,99.82,2,9.982,209.622,Credit card,199.64,6.7,2019-01-02,Wednesday,Laboral,Noche,Neutros,0,0,-0.016967418883992225,Cluster 2
305,370-96-0655,Naypyitaw,Normal,Mujer,Fashion accessories,49.32,6,14.796,310.716,Ewallet,295.92,7.1,2019-01-09,Wednesday,Laboral,Mañana,Neutros,0,0,-0.032139204729256236,Cluster 0
306,289-65-5721,Mandalay,Normal,Mujer,Fashion accessories,81.37,2,8.137,170.877,Cash,162.74,6.5,2019-01-26,Saturday,Laboral,Noche,Neutros,0,0,-0.046335861788362964,Cluster 2
307,286-01-5402,Yangon,Normal,Mujer,Sports and travel,40.23,7,14.0805,295.6905,Cash,281.61,9.6,2019-03-30,Saturday,Laboral,Mañana,Promotores,100,0,-0.028978270181830083,Cluster 0
308,234-65-2137,Naypyitaw,Normal,Hombre,Home and lifestyle,95.58,10,47.79,1003.59,Cash,955.8,4.8,2019-01-16,Wednesday,Laboral,Mañana,Detractores,-100,1,0.00353965102195275,Cluster 0
309,420-97-3340,Yangon,Normal,Mujer,Food and beverages,71.68,3,10.752,225.792,Credit card,215.04,9.2,2019-03-28,Thursday,Laboral,Tarde,Promotores,100,0,-0.024855966059753157,Cluster 1
310,434-35-9162,Mandalay,Miembro,Hombre,Food and beverages,23.34,4,4.668,98.028,Ewallet,93.36,7.4,2019-02-04,Monday,Laboral,Noche,Neutros,0,0,-0.0334817045226703,Cluster 2
311,447-15-7839,Yangon,Miembro,Mujer,Sports and travel,22.24,10,11.12,233.52,Cash,222.4,4.2,2019-02-09,Saturday,Laboral,Mañana,Detractores,-100,0,-0.02766801528002794,Cluster 0
312,815-11-1168,Yangon,Miembro,Hombre,Food and beverages,99.78,5,24.945,523.845,Cash,498.9,5.4,2019-03-09,Saturday,Laboral,Noche,Detractores,-100,0,-0.010648741581397505,Cluster 2
313,418-02-5978,Mandalay,Normal,Mujer,Health and beauty,84.09,9,37.8405,794.6505,Cash,756.81,8.0,2019-02-11,Monday,Laboral,Mañana,Neutros,0,0,-0.007919675543736848,Cluster 0
314,608-96-3517,Mandalay,Miembro,Mujer,Fashion accessories,91.54,4,18.308,384.468,Credit card,366.16,4.8,2019-03-23,Saturday,Laboral,Noche,Detractores,-100,0,-0.029666739604218062,Cluster 2
315,233-34-0817,Naypyitaw,Miembro,Mujer,Electronic accessories,98.84,1,4.942,103.782,Cash,98.84,8.4,2019-02-15,Friday,Laboral,Mañana,Neutros,0,0,-0.013349073998621286,Cluster 0
316,695-51-0018,Mandalay,Normal,Mujer,Sports and travel,34.84,4,6.968,146.328,Cash,139.36,7.4,2019-02-10,Sunday,Festivo,Noche,Neutros,0,0,-0.033713090358857056,Cluster 2
317,692-92-5582,Mandalay,Miembro,Mujer,Food and beverages,54.84,3,8.226,172.74599999999995,Credit card,164.52,5.9,2019-02-20,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.030800304989801238,Cluster 0
318,704-11-6354,Yangon,Miembro,Hombre,Home and lifestyle,58.9,8,23.56,494.76,Cash,471.2,8.9,2019-01-06,Sunday,Festivo,Mañana,Promotores,100,0,-0.030553357990980468,Cluster 0
319,574-80-1489,Mandalay,Miembro,Mujer,Food and beverages,62.85,4,12.57,263.97,Ewallet,251.4,8.7,2019-02-25,Monday,Laboral,Mañana,Promotores,100,0,-0.032554839393953316,Cluster 0
320,182-69-8360,Mandalay,Normal,Mujer,Electronic accessories,23.65,4,4.73,99.33,Credit card,94.6,4.0,2019-01-30,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.003431694458705059,Cluster 0
321,443-82-0585,Yangon,Miembro,Mujer,Health and beauty,77.68,4,15.536,326.256,Cash,310.72,8.4,2019-02-01,Friday,Laboral,Noche,Neutros,0,0,-0.019123807791399102,Cluster 2
322,480-63-2856,Naypyitaw,Normal,Hombre,Food and beverages,19.25,8,7.7,161.7,Ewallet,154.0,6.6,2019-01-23,Wednesday,Laboral,Noche,Neutros,0,0,-0.028575935960926332,Cluster 2
323,853-23-2453,Mandalay,Miembro,Hombre,Health and beauty,75.74,4,15.148,318.108,Cash,302.96,7.6,2019-02-14,Thursday,Laboral,Tarde,Neutros,0,0,-0.01972869064979144,Cluster 1
324,388-76-2555,Mandalay,Normal,Hombre,Sports and travel,13.69,6,4.107,86.24700000000001,Cash,82.14,6.3,2019-02-13,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.024105569043332283,Cluster 0
325,254-31-0042,Yangon,Miembro,Hombre,Electronic accessories,21.5,9,9.675,203.175,Credit card,193.5,7.8,2019-03-06,Wednesday,Laboral,Mañana,Neutros,0,0,-0.02578214766082243,Cluster 0
326,827-44-5872,Mandalay,Miembro,Mujer,Food and beverages,54.36,10,27.18,570.78,Credit card,543.6,6.1,2019-02-07,Thursday,Laboral,Mañana,Detractores,-100,0,-0.006766785696654787,Cluster 0
327,449-27-2918,Mandalay,Miembro,Mujer,Sports and travel,39.12,1,1.956,41.076,Credit card,39.12,9.6,2019-03-26,Tuesday,Laboral,Mañana,Promotores,100,0,-0.0299185811240118,Cluster 0
328,378-24-2715,Mandalay,Normal,Hombre,Home and lifestyle,53.44,2,5.3439999999999985,112.224,Ewallet,106.88,4.1,2019-01-20,Sunday,Festivo,Noche,Detractores,-100,0,-0.013232101836459287,Cluster 2
329,471-06-8611,Naypyitaw,Normal,Mujer,Food and beverages,52.42,1,2.6210000000000004,55.041,Credit card,52.42,6.3,2019-02-06,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.02183114054682589,Cluster 0
330,875-31-8302,Mandalay,Normal,Hombre,Sports and travel,93.38,1,4.669,98.049,Cash,93.38,9.6,2019-01-03,Thursday,Laboral,Mañana,Promotores,100,0,-0.002552406058193735,Cluster 0
331,714-02-3114,Naypyitaw,Normal,Mujer,Sports and travel,98.8,2,9.88,207.48,Cash,197.6,7.7,2019-02-21,Thursday,Laboral,Mañana,Neutros,0,0,-0.022316533206428124,Cluster 0
332,220-28-1851,Yangon,Normal,Hombre,Home and lifestyle,34.73,2,3.4730000000000003,72.933,Ewallet,69.46,9.7,2019-03-01,Friday,Laboral,Noche,Promotores,100,0,-0.030103304804645962,Cluster 2
333,479-26-8945,Mandalay,Miembro,Mujer,Sports and travel,16.49,2,1.649,34.629,Ewallet,32.98,4.6,2019-02-05,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.013534058737431852,Cluster 0
334,640-48-5028,Mandalay,Miembro,Mujer,Home and lifestyle,88.39,9,39.7755,835.2855,Cash,795.51,6.3,2019-03-02,Saturday,Festivo,Mañana,Detractores,-100,0,-0.01455071169115074,Cluster 0
335,256-58-3609,Naypyitaw,Miembro,Hombre,Fashion accessories,91.98,1,4.599,96.579,Cash,91.98,9.8,2019-03-18,Monday,Laboral,Tarde,Promotores,100,1,0.008624405067258256,Cluster 1
336,151-33-7434,Mandalay,Normal,Mujer,Food and beverages,67.77,1,3.3885,71.1585,Credit card,67.77,6.5,2019-02-04,Monday,Laboral,Noche,Neutros,0,0,-0.023807486929715682,Cluster 2
337,728-88-7867,Naypyitaw,Miembro,Mujer,Home and lifestyle,75.53,4,15.106,317.226,Ewallet,302.12,8.3,2019-03-19,Tuesday,Laboral,Tarde,Neutros,0,0,-0.04031307210538815,Cluster 1
338,659-36-1684,Naypyitaw,Miembro,Hombre,Sports and travel,57.12,7,19.992,419.832,Credit card,399.84,6.5,2019-01-12,Saturday,Laboral,Mañana,Neutros,0,0,-0.03361251582256708,Cluster 0
339,183-21-3799,Naypyitaw,Normal,Mujer,Electronic accessories,77.63,9,34.9335,733.6035,Ewallet,698.67,7.2,2019-02-19,Tuesday,Laboral,Tarde,Neutros,0,0,-0.01822086587802973,Cluster 1
340,243-47-2663,Naypyitaw,Miembro,Hombre,Electronic accessories,18.77,6,5.631,118.251,Credit card,112.62,5.5,2019-01-28,Monday,Laboral,Tarde,Detractores,-100,0,-0.025279708893002132,Cluster 1
341,701-69-8742,Mandalay,Normal,Hombre,Sports and travel,34.37,10,17.185,360.885,Ewallet,343.7,6.7,2019-03-16,Saturday,Laboral,Mañana,Neutros,0,0,-0.020128227815416344,Cluster 0
342,852-62-7105,Mandalay,Normal,Mujer,Fashion accessories,83.25,10,41.625,874.125,Credit card,832.5,4.4,2019-01-12,Saturday,Laboral,Mañana,Detractores,-100,0,-0.022559375572900442,Cluster 0
343,608-04-3797,Mandalay,Miembro,Mujer,Health and beauty,25.32,8,10.128,212.688,Ewallet,202.56,8.7,2019-03-05,Tuesday,Laboral,Noche,Promotores,100,0,-0.014445084804058594,Cluster 2
344,648-94-3045,Naypyitaw,Normal,Hombre,Health and beauty,58.95,10,29.475,618.975,Ewallet,589.5,8.1,2019-02-07,Thursday,Laboral,Tarde,Neutros,0,0,-0.012980989202581285,Cluster 1
345,234-36-2483,Mandalay,Normal,Hombre,Health and beauty,57.59,6,17.277,362.817,Cash,345.54,5.1,2019-02-15,Friday,Laboral,Mañana,Detractores,-100,0,-0.035947081783441186,Cluster 0
346,346-12-3257,Mandalay,Miembro,Hombre,Electronic accessories,19.24,9,8.658,181.818,Cash,173.16,8.0,2019-03-04,Monday,Laboral,Tarde,Neutros,0,0,-0.017701892924854908,Cluster 1
347,280-35-5823,Mandalay,Miembro,Mujer,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,86.72,7.9,2019-01-17,Thursday,Laboral,Noche,Neutros,0,0,-0.014576015672618126,Cluster 2
348,786-94-2700,Yangon,Miembro,Hombre,Food and beverages,80.62,6,24.186,507.906,Cash,483.72,9.1,2019-02-28,Thursday,Laboral,Noche,Promotores,100,0,-0.02023442088567373,Cluster 2
349,319-74-2561,Yangon,Miembro,Mujer,Electronic accessories,94.64,3,14.196,298.116,Cash,283.92,5.5,2019-02-21,Thursday,Laboral,Tarde,Detractores,-100,0,-0.011361892617040126,Cluster 1
350,803-17-8013,Yangon,Miembro,Mujer,Home and lifestyle,88.79,8,35.516,745.836,Cash,710.32,4.1,2019-02-17,Sunday,Festivo,Tarde,Detractores,-100,0,-0.019135994123205324,Cluster 1
351,133-14-7229,Naypyitaw,Normal,Hombre,Health and beauty,62.87,2,6.287000000000001,132.02700000000002,Cash,125.74,5.0,2019-01-01,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.020230858295938958,Cluster 0
352,366-43-6862,Mandalay,Normal,Hombre,Electronic accessories,52.89,4,10.578,222.138,Ewallet,211.56,6.7,2019-03-25,Monday,Laboral,Tarde,Neutros,0,0,-0.03914375743780008,Cluster 1
353,307-85-2293,Mandalay,Normal,Hombre,Home and lifestyle,50.28,5,12.57,263.97,Ewallet,251.4,9.7,2019-03-07,Thursday,Laboral,Mañana,Promotores,100,0,-0.03849655878597647,Cluster 0
354,845-51-0542,Mandalay,Miembro,Hombre,Food and beverages,46.55,9,20.9475,439.8975,Ewallet,418.95,6.4,2019-02-02,Saturday,Laboral,Tarde,Detractores,-100,0,-0.0340459059266528,Cluster 1
355,268-27-6179,Mandalay,Miembro,Mujer,Fashion accessories,56.47,8,22.588,474.348,Ewallet,451.76,7.3,2019-03-09,Saturday,Laboral,Tarde,Neutros,0,0,-0.03594903737130173,Cluster 1
356,744-82-9138,Naypyitaw,Normal,Hombre,Fashion accessories,86.13,2,8.613,180.873,Cash,172.26,8.2,2019-02-07,Thursday,Laboral,Tarde,Neutros,0,0,-0.019389545258041263,Cluster 1
357,340-66-0321,Yangon,Miembro,Hombre,Electronic accessories,36.36,4,7.272,152.71200000000005,Cash,145.44,7.6,2019-03-25,Monday,Laboral,Mañana,Neutros,0,0,-0.03147812990264276,Cluster 0
358,400-45-1220,Mandalay,Normal,Mujer,Health and beauty,13.5,10,6.75,141.75,Credit card,135.0,4.8,2019-02-27,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.016307317718321057,Cluster 0
359,404-91-5964,Yangon,Normal,Hombre,Electronic accessories,74.58,7,26.103,548.163,Credit card,522.06,9.0,2019-02-04,Monday,Laboral,Tarde,Promotores,100,0,-0.02259243664136623,Cluster 1
360,320-32-8842,Naypyitaw,Miembro,Mujer,Food and beverages,22.62,1,1.131,23.751,Cash,22.62,6.4,2019-03-17,Sunday,Festivo,Noche,Detractores,-100,0,-0.012896523845797205,Cluster 2
361,105-31-1824,Yangon,Miembro,Hombre,Sports and travel,69.52,7,24.332,510.972,Credit card,486.64,8.5,2019-02-01,Friday,Laboral,Tarde,Promotores,100,0,-0.0343199326575564,Cluster 1
362,422-29-8786,Yangon,Normal,Mujer,Home and lifestyle,67.09,5,16.7725,352.2225,Credit card,335.45,9.1,2019-01-03,Thursday,Laboral,Tarde,Promotores,100,0,-0.027272565249480074,Cluster 1
363,777-67-2495,Mandalay,Normal,Hombre,Home and lifestyle,68.97,3,10.3455,217.2555,Ewallet,206.91,8.7,2019-02-22,Friday,Laboral,Mañana,Promotores,100,0,-0.040423051803642696,Cluster 0
364,534-01-4457,Yangon,Normal,Hombre,Food and beverages,81.71,6,24.513,514.773,Credit card,490.26,8.0,2019-01-27,Sunday,Festivo,Tarde,Neutros,0,0,-0.032654695429258807,Cluster 1
365,183-56-6882,Naypyitaw,Miembro,Mujer,Food and beverages,99.42,4,19.884,417.564,Ewallet,397.68,7.5,2019-02-06,Wednesday,Laboral,Mañana,Neutros,0,0,-0.012606751709268504,Cluster 0
366,160-22-2687,Yangon,Miembro,Mujer,Health and beauty,95.95,5,23.9875,503.7375,Ewallet,479.75,8.8,2019-01-23,Wednesday,Laboral,Tarde,Promotores,100,0,-0.022464110936465945,Cluster 1
367,848-42-2560,Yangon,Normal,Mujer,Fashion accessories,81.91,2,8.191,172.011,Cash,163.82,7.8,2019-03-05,Tuesday,Laboral,Tarde,Neutros,0,0,-0.02455067207676997,Cluster 1
368,842-40-8179,Mandalay,Miembro,Mujer,Food and beverages,77.2,10,38.6,810.6,Credit card,772.0,5.6,2019-02-11,Monday,Laboral,Mañana,Detractores,-100,1,0.007707292844743141,Cluster 0
369,423-80-0988,Naypyitaw,Normal,Hombre,Sports and travel,76.4,2,7.64,160.44,Ewallet,152.8,6.5,2019-01-30,Wednesday,Laboral,Noche,Neutros,0,0,-0.011718866880419232,Cluster 2
370,423-57-2993,Mandalay,Normal,Hombre,Sports and travel,93.39,6,28.017,588.357,Ewallet,560.34,10.0,2019-03-27,Wednesday,Festivo,Noche,Promotores,100,1,0.00673531500206026,Cluster 2
371,226-71-3580,Naypyitaw,Normal,Mujer,Sports and travel,23.75,9,10.6875,224.4375,Cash,213.75,9.5,2019-01-31,Thursday,Laboral,Mañana,Promotores,100,0,-0.019552923740204897,Cluster 0
372,824-88-3614,Naypyitaw,Normal,Hombre,Health and beauty,34.31,8,13.724,288.204,Ewallet,274.48,5.7,2019-01-25,Friday,Laboral,Tarde,Detractores,-100,0,-0.025915166300385484,Cluster 1
373,830-58-2383,Mandalay,Normal,Hombre,Home and lifestyle,31.75,4,6.35,133.35,Cash,127.0,8.6,2019-02-08,Friday,Laboral,Tarde,Promotores,100,0,-0.025400341054553573,Cluster 1
374,533-33-5337,Mandalay,Normal,Hombre,Electronic accessories,79.39,10,39.695,833.595,Cash,793.9,6.2,2019-02-07,Thursday,Laboral,Noche,Detractores,-100,0,-0.006585041477538911,Cluster 2
375,651-88-7328,Yangon,Normal,Mujer,Fashion accessories,65.74,9,29.583,621.243,Cash,591.66,7.7,2019-01-01,Tuesday,Laboral,Mañana,Neutros,0,0,-0.026130963472684062,Cluster 0
376,371-85-5789,Mandalay,Normal,Hombre,Health and beauty,87.98,3,13.197,277.137,Ewallet,263.94,5.1,2019-03-05,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.021427599952951185,Cluster 0
